plan_time,runway,peaknew,gatenew,NewPushA,NewPushBa,NewPushoutB,append2_res,append1_res,
300,35,4,30,3,7,20.78715459,8,4,
300,35,5,212,5,13,20.20869219,4,10,
600,35,5,43,7,11,20.14679912,1,1,
600,35,5,172,6,9,19.95248574,4,4,
600,34,5,32,9,14,19.95248574,4,7,
600,35,5,177,5,14,20.31311203,5,10,
900,35,5,27,3,6,19.68695652,4,4,
900,35,5,221,7,13,20.18854626,1,7,
1200,35,5,12,5,10,20.04739583,1,1,
1200,35,5,173,2,10,20.28190955,5,7,
1200,35,5,17,2,10,20.42940678,3,7,
1500,35,5,11,1,9,20.42940678,0,7,
3900,17,5,197,3,4,17.19154705,1,4,
4500,35,5,214,3,4,17.68547655,1,1,
4500,17,5,196,1,4,15.88137255,1,4,
4800,17,5,225,2,6,16.36297578,0,4,
5400,17,5,193,2,4,16.92006369,1,4,
7200,17,5,178,0,2,16.2025974,0,1,
7500,17,5,40,0,0,14.5048913,1,1,
8100,17,5,175,0,2,16.2025974,0,1,
9300,17,5,65,1,2,13.42888199,0,1,
9900,17,5,45,0,0,13.75833333,1,1,
10500,17,5,62,0,0,13.1738255,1,1,
11700,17,5,174,2,3,13.59171779,0,1,
12600,17,5,73,1,2,12.32839117,1,1,
13200,17,5,183,0,2,12.12419355,2,1,
13200,17,5,179,0,2,13.39507692,0,1,
13500,17,5,69,1,1,12.51924399,2,1,
14700,17,5,43,0,1,13.25119826,2,1,
15900,17,5,75,0,0,13.26461538,0,1,
16800,17,5,173,1,1,12.68724832,3,1,
18000,17,5,41,0,0,12.68147268,0,1,
19800,17,5,50,1,1,12.40813397,2,1,
21000,17,5,78,0,1,11.79799197,1,1,
21600,35,0,44,8,19,19.19009434,9,7,
21900,17,5,63,1,1,13.04844961,1,1,
22500,17,5,200,2,5,13.25119826,3,1,
23100,17,5,175,2,3,13.37026477,3,1,
24000,17,4,79,1,4,12.75737352,1,1,
24000,17,4,1,4,6,12.82244582,0,1,
24000,17,4,103,5,10,12.92371378,2,4,
24300,17,4,224,5,8,12.87717042,2,1,
24300,17,4,146,10,14,12.87717042,3,7,
24300,16,2,211,8,17,14.34633072,3,7,
24300,17,4,89,8,13,13.58029967,4,7,
24600,16,4,191,4,10,13.1449506,4,4,
24600,17,4,166,6,9,12.75737352,1,4,
24600,17,4,116,4,9,13.0647191,4,4,
24600,16,4,179,4,11,13.1449506,4,4,
24600,17,4,92,4,11,13.2463469,5,7,
24600,17,4,172,10,15,12.88529032,5,7,
25200,17,4,66,3,5,12.93408948,0,4,
25200,16,2,138,1,3,13.56890244,1,4,
25200,17,4,194,7,13,13.01177474,5,7,
25800,17,2,113,1,3,13.56890244,1,4,
26100,16,2,151,3,5,13.95700831,2,1,
26100,16,2,182,5,10,13.95700831,4,1,
26100,16,2,231,8,14,14.18957346,3,4,
26100,16,2,157,10,17,13.74374308,5,7,
26400,16,2,152,3,11,14.77510271,0,4,
26400,17,2,2,9,16,14.18957346,3,4,
26400,16,2,161,10,22,14.43773842,1,10,
26400,16,2,36,18,29,14.34800563,3,13,
26700,16,2,176,8,16,14.19495366,3,7,
26700,16,2,227,6,15,14.43773842,1,7,
26700,17,1,210,16,31,16.05856178,5,13,
27000,17,2,170,2,6,14.50047109,0,1,
27000,16,2,223,10,23,14.43773842,1,10,
27300,17,1,156,5,7,15.7391491,0,4,
27300,16,2,184,7,16,14.59958106,0,7,
27300,16,2,21,11,20,15.28147418,0,7,
27300,16,1,218,11,20,15.7391491,2,7,
27600,16,1,177,7,13,15.99258024,3,4,
27600,16,1,225,6,16,15.97334178,3,7,
27600,17,1,112,14,26,16.05856178,4,13,
27900,16,1,221,6,14,15.64816794,2,7,
27900,17,1,234,9,15,16.06504195,3,7,
27900,16,1,0,13,29,15.97334178,7,10,
28200,16,1,232,5,14,15.97334178,3,4,
28200,17,1,164,10,19,16.0654816,3,10,
28200,17,1,120,12,24,15.69681015,5,10,
28200,16,1,9,11,22,15.66709782,5,13,
28200,17,1,203,16,34,15.9878589,8,13,
28500,16,1,20,11,23,15.74491089,6,10,
28800,16,1,219,9,14,15.66709782,4,7,
28800,17,1,158,8,15,15.69779028,4,10,
28800,16,1,147,11,20,15.64359768,5,10,
28800,17,1,159,12,26,15.6351434,5,10,
28800,17,0,173,13,29,16.20988722,13,10,
28800,16,0,199,11,23,16.15758711,9,13,
29100,17,0,206,9,18,15.80850631,4,10,
29100,16,0,181,7,18,15.99063145,6,10,
29400,17,0,111,3,11,15.89769392,2,7,
29400,16,0,212,7,14,15.80857488,4,10,
29700,16,0,136,9,19,15.7925435,6,13,
29700,16,0,202,16,34,15.7925435,10,19,
30000,16,0,180,6,12,16.17913806,7,4,
30000,17,0,235,8,15,16.11381832,7,7,
30000,17,0,198,9,20,16.20988722,8,7,
30000,17,0,236,8,18,15.92961266,6,10,
30000,16,0,226,13,25,16.13492549,8,10,
30300,17,0,228,6,11,16.17644428,4,4,
30300,34,0,171,12,24,16.36067208,8,13,
30300,34,1,220,9,25,17.4414963,12,13,
30300,34,0,224,19,40,16.3333578,14,16,
30600,35,0,121,8,21,16.27797112,5,7,
30600,34,0,193,13,26,16.3333578,9,10,
30600,16,0,167,13,27,15.89769392,9,16,
30900,17,0,160,9,15,16.35340952,7,7,
30900,16,0,205,9,16,16.4107197,6,7,
30900,35,1,233,11,21,16.89721086,10,10,
30900,34,0,195,18,38,16.33493202,12,16,
31200,35,0,201,4,13,16.28428468,1,4,
31200,34,0,169,7,11,16.28176678,8,4,
31200,17,0,85,7,14,16.4419693,6,7,
31200,34,0,118,16,29,16.06123099,12,13,
31200,34,0,191,14,31,16.02215929,9,13,
31500,35,0,16,5,16,16.28428468,1,7,
31500,35,1,95,8,12,16.71256994,5,7,
31500,35,0,196,15,23,16.45434234,11,10,
31500,34,0,122,13,23,16.51780523,14,13,
31800,35,0,215,10,17,16.43561295,8,7,
