time,runway,peaknew,gatenew,NewPushA,NewPushBa,NewPushoutB,append2_res,append1_res
300,35,5,17,5,8,20.14679912,3,6
300,35,5,12,6,9,20.14679912,3,7
300,35,5,220,8,14,20.18989521,2,8
600,35,5,30,5,8,20.20559846,1,5
600,34,5,65,4,14,18.05743741,1,7
600,34,5,32,11,19,20.42940678,1,10
900,35,5,13,7,12,20.39056445,1,6
900,35,5,217,8,12,20.25393586,2,8
1200,35,5,141,3,7,20.28190955,1,4
1200,34,5,15,6,14,18.64801921,1,7
1200,34,5,176,5,17,19.73394794,0,8
1500,35,5,28,1,8,19.73394794,0,4
1500,34,5,69,5,9,17.37691108,1,6
1800,34,5,197,3,6,16.67942664,3,6
2100,34,5,196,10,19,20.28386783,1,9
2400,34,5,191,7,18,19.87829146,1,8
3600,34,5,169,7,18,18.07709497,1,9
3900,34,5,229,6,15,18.33961486,1,6
3900,34,5,226,3,8,15.92046589,4,7
4500,34,5,223,4,5,17.19154705,0,3
4500,34,5,190,4,6,16.93306321,1,5
4800,34,5,200,1,3,16.22503794,3,2
4800,34,5,198,2,6,15.85667808,3,5
5400,34,5,192,1,3,15.65819113,2,3
6300,34,5,172,1,2,15.81980198,1,2
6600,34,5,225,1,2,16.06463596,2,1
7200,34,5,68,0,2,16.00711538,2,1
7500,34,5,40,1,2,13.80175439,2,2
7800,34,5,214,2,3,15.74754098,0,2
9300,34,5,61,0,0,12.20243902,2,0
9900,34,5,39,3,3,13.26296296,1,0
10500,34,5,70,2,3,13.44811321,1,1
10800,34,5,41,1,1,14.20519481,4,0
11100,34,5,42,1,3,13.59171779,1,2
11700,34,5,177,0,1,13.49556314,0,0
12600,34,5,60,0,3,13.42888199,1,3
12600,34,0,62,18,35,16.09011964,9,14
13500,34,5,50,0,2,12.68724832,2,1
13800,34,5,43,2,2,12.28708487,5,1
14700,34,5,45,1,2,12.69787986,4,2
15900,34,5,75,0,0,13.33224638,5,0
16800,34,5,176,1,2,12.69787986,3,0
18000,34,5,41,1,2,12.44122449,3,0
19800,34,5,49,2,5,12.8067086,1,2
20400,34,5,52,2,6,12.77450199,2,4
21000,34,5,173,1,2,11.99730539,5,1
21000,34,5,77,1,2,12.07966102,4,2
21600,34,5,46,3,7,12.8067086,1,3
21900,34,5,65,4,5,12.83793103,0,1
21900,34,5,45,0,2,13.1832998,1,4
22200,34,5,173,4,5,12.52899263,4,1
22500,34,5,212,1,5,12.91613546,2,4
23100,34,5,177,3,3,12.96700405,2,0
24000,34,4,140,1,4,12.77372093,1,1
24000,35,4,19,7,13,13.01177474,2,3
24000,35,2,10,7,20,13.58208791,4,11
24300,35,4,86,5,7,12.93408948,3,2
24300,34,4,161,6,9,12.77372093,3,2
24300,34,4,34,9,10,12.87327478,4,3
24300,35,4,229,16,22,12.93408948,8,7
24300,34,1,185,13,25,15.87918822,4,15
24600,35,4,111,12,18,12.90369249,5,5
24600,34,4,183,15,19,12.88529032,6,6
24600,35,4,29,14,23,12.92371378,7,8
24600,35,4,169,12,22,13.20791969,5,8
24600,34,0,158,13,22,16.09011964,7,9
24900,34,4,17,4,13,13.50687361,2,5
24900,34,4,123,7,20,13.45435268,4,8
24900,35,4,112,15,27,13.2463469,8,14
25200,35,4,63,4,9,12.92371378,2,3
25200,34,4,206,8,16,13.43938547,4,5
25200,35,4,1,7,20,13.45435268,4,8
25200,35,2,20,12,25,13.84706849,5,13
25200,35,4,196,19,31,13.1449506,8,17
25500,34,4,35,8,23,13.50687361,5,11
25500,35,4,220,12,24,13.33556672,7,11
25500,34,0,31,15,27,16.10990366,7,11
25800,35,2,153,13,17,14.18957346,5,10
25800,34,2,156,8,22,13.58208791,4,12
26100,34,2,165,4,11,13.74374308,2,7
26100,34,2,209,11,17,14.19495366,3,8
26100,34,2,189,12,19,14.41690334,3,8
26100,34,2,207,13,21,14.43773842,4,9
26100,34,2,26,16,33,14.84021739,2,14
26400,34,2,121,13,20,14.38297769,3,10
26400,35,2,0,12,20,14.19495366,4,10
26400,34,2,33,15,30,15.28147418,3,11
26400,34,2,210,17,28,14.47566138,4,13
26700,34,2,224,10,15,14.37213429,3,7
26700,34,2,154,13,21,14.50047109,3,9
26700,34,2,231,12,21,14.59958106,3,10
26700,35,1,182,19,37,15.85553367,3,15
27000,35,1,157,5,14,15.38906803,1,5
27000,35,0,40,12,24,16.19054206,8,9
27000,34,2,146,16,31,14.77510271,2,14
27000,34,2,151,18,34,15.20670827,3,14
27000,34,1,171,12,25,15.74491089,5,16
27300,35,2,160,4,13,14.84021739,1,5
27300,34,1,22,14,32,16.05856178,2,12
27300,34,2,138,14,27,14.77510271,2,13
27300,34,1,172,18,37,15.95051752,3,17
27600,34,1,163,14,27,15.99258024,2,11
27600,34,1,136,18,34,15.7391491,3,12
27600,35,1,152,14,29,15.99258024,3,13
27900,34,1,155,14,31,16.05856178,2,11
27900,34,0,147,18,35,16.13492549,8,13
28200,35,1,119,3,8,15.6351434,0,4
28200,35,1,233,10,18,15.9878589,2,5
28200,35,0,68,9,22,16.13127196,7,14
28200,35,1,205,6,19,15.6400607,4,15
28200,34,1,227,13,29,15.97334178,4,15
28200,34,1,13,12,31,15.69936983,6,19
28500,34,1,44,14,35,15.69936983,7,20
28800,34,1,221,8,17,17.39793487,8,7
28800,35,1,235,7,15,15.6689496,2,11
28800,35,1,186,6,17,15.66351964,3,13
28800,34,1,148,5,18,15.6400607,3,14
28800,34,1,204,15,32,15.66709782,6,17
28800,34,1,116,13,31,15.6351434,5,20
29100,34,0,179,14,23,15.99063145,7,10
29100,35,0,203,11,20,15.7925435,4,10
29400,35,0,150,9,17,16.39543446,2,10
29400,34,1,200,10,25,15.66709782,6,15
29700,34,0,208,12,17,15.95309341,4,8
29700,34,0,167,12,18,16.03250786,5,8
30000,35,0,166,7,11,15.81725,3,7
30000,34,0,222,22,41,16.18434588,9,18
30300,35,0,145,2,10,16.21455085,4,3
30300,34,0,168,10,24,16.21455085,8,8
30300,34,0,213,10,19,16.31727806,3,12
30300,34,0,202,13,27,16.31387724,4,13
30600,34,0,164,13,24,16.18434588,7,8
30600,34,0,191,19,36,16.13492549,8,15
30600,35,0,180,19,35,16.4419693,5,17
30900,35,0,236,10,19,16.33493202,3,8
30900,35,0,232,12,27,16.17644428,7,10
30900,34,0,178,15,27,16.27797112,5,14
30900,34,0,10,15,29,15.98876285,8,18
31200,34,1,216,5,18,17.05300191,6,10
31200,35,0,16,10,19,16.31727806,3,12
31200,35,0,162,15,26,16.36067208,3,13
31200,34,0,159,14,23,16.11421446,6,14
31200,34,0,79,18,35,16.27797112,9,18
31200,35,1,50,19,38,16.59474269,14,19
31500,35,0,83,9,15,16.06123099,6,8
31500,35,0,140,10,20,15.98876285,3,12
31500,35,1,194,11,28,17.05300191,12,14
31500,34,0,34,17,33,16.13127196,8,19
31800,34,0,229,11,21,15.96168421,7,10
31800,35,0,234,8,17,16.16997207,7,11
31800,34,0,218,10,24,16.28176678,7,12
31800,34,1,36,9,24,17.05300191,9,12
31800,34,0,25,11,23,16.06123099,7,14
31800,34,0,120,13,24,15.97481508,8,15
31800,34,0,206,15,33,16.28176678,8,16
31800,34,1,21,19,41,17.41903739,25,18
32100,35,0,195,10,21,16.45434234,3,11
32100,35,0,122,10,24,16.28176678,7,12
32100,34,0,28,13,27,16.45434234,8,15
32100,34,0,228,15,29,16.53140167,7,16
32400,35,1,114,4,13,16.94207589,8,9
32400,35,1,85,7,16,16.71256994,8,9
32400,35,0,41,10,18,16.57194323,6,9
32400,35,1,170,12,24,16.67612328,10,15
32700,35,1,118,11,17,16.53237463,5,7
32700,34,1,30,12,18,16.53237463,8,9
32700,34,1,139,9,18,16.67612328,8,11
32700,34,1,42,12,28,16.89721086,12,14
32700,35,0,230,15,30,16.51780523,9,15
33000,34,1,12,9,23,17.39793487,10,9
33000,34,1,117,7,17,16.81298557,9,11
33000,34,1,80,14,35,17.18882106,15,16
33300,35,1,2,11,23,17.3492126,8,9
33300,34,2,115,6,19,16.89403606,11,11
33300,34,1,215,11,25,16.71256994,10,14
33600,35,2,67,1,7,17.37785333,7,3
33900,35,1,219,8,14,17.43795712,8,7
33900,34,1,143,12,26,17.37046293,14,11
34200,35,2,1,7,14,17.38473896,8,8
