plan_time,runway,peaknew,gatenew,distance,NewPushA,NewPushBa,NewPushoutB,append2_res,append1_res
2016/2/5 0:05,35,5,17,3517,5,8,20.14679912,3,6
2016/2/5 0:05,35,5,12,3512,6,9,20.14679912,3,7
2016/2/5 0:05,35,5,220,35220,8,14,20.18989521,2,8
2016/2/5 0:10,35,5,30,3530,5,8,20.20559846,1,5
2016/2/5 0:10,34,5,65,3465,4,14,18.05743741,1,7
2016/2/5 0:10,34,5,32,3432,11,19,20.42940678,1,10
2016/2/5 0:15,35,5,13,3513,7,12,20.39056445,1,6
2016/2/5 0:15,35,5,217,35217,8,12,20.25393586,2,8
2016/2/5 0:20,35,5,141,35141,3,7,20.28190955,1,4
2016/2/5 0:20,34,5,15,3415,6,14,18.64801921,1,7
2016/2/5 0:20,34,5,176,34176,5,17,19.73394794,0,8
2016/2/5 0:25,35,5,28,3528,1,8,19.73394794,0,4
2016/2/5 0:25,34,5,69,3469,5,9,17.37691108,1,6
2016/2/5 0:30,34,5,197,34197,3,6,16.67942664,3,6
2016/2/5 0:35,34,5,196,34196,10,19,20.28386783,1,9
2016/2/5 0:40,34,5,191,34191,7,18,19.87829146,1,8
2016/2/5 1:00,34,5,169,34169,7,18,18.07709497,1,9
2016/2/5 1:05,34,5,229,34229,6,15,18.33961486,1,6
2016/2/5 1:05,34,5,226,34226,3,8,15.92046589,4,7
2016/2/5 1:15,34,5,223,34223,4,5,17.19154705,0,3
2016/2/5 1:15,34,5,190,34190,4,6,16.93306321,1,5
2016/2/5 1:20,34,5,200,34200,1,3,16.22503794,3,2
2016/2/5 1:20,34,5,198,34198,2,6,15.85667808,3,5
2016/2/5 1:30,34,5,192,34192,1,3,15.65819113,2,3
2016/2/5 1:45,34,5,172,34172,1,2,15.81980198,1,2
2016/2/5 1:50,34,5,225,34225,1,2,16.06463596,2,1
2016/2/5 2:00,34,5,68,3468,0,2,16.00711538,2,1
2016/2/5 2:05,34,5,40,3440,1,2,13.80175439,2,2
2016/2/5 2:10,34,5,214,34214,2,3,15.74754098,0,2
2016/2/5 2:35,34,5,61,3461,0,0,12.20243902,2,0
2016/2/5 2:45,34,5,39,3439,3,3,13.26296296,1,0
2016/2/5 2:55,34,5,70,3470,2,3,13.44811321,1,1
2016/2/5 3:00,34,5,41,3441,1,1,14.20519481,4,0
2016/2/5 3:05,34,5,42,3442,1,3,13.59171779,1,2
2016/2/5 3:15,34,5,177,34177,0,1,13.49556314,0,0
2016/2/5 3:30,34,5,60,3460,0,3,13.42888199,1,3
2016/2/5 3:30,34,0,62,3462,18,35,16.09011964,9,14
2016/2/5 3:45,34,5,50,3450,0,2,12.68724832,2,1
2016/2/5 3:50,34,5,43,3443,2,2,12.28708487,5,1
2016/2/5 4:05,34,5,45,3445,1,2,12.69787986,4,2
2016/2/5 4:25,34,5,75,3475,0,0,13.33224638,5,0
2016/2/5 4:40,34,5,176,34176,1,2,12.69787986,3,0
2016/2/5 5:00,34,5,41,3441,1,2,12.44122449,3,0
2016/2/5 5:30,34,5,49,3449,2,5,12.8067086,1,2
2016/2/5 5:40,34,5,52,3452,2,6,12.77450199,2,4
2016/2/5 5:50,34,5,173,34173,1,2,11.99730539,5,1
2016/2/5 5:50,34,5,77,3477,1,2,12.07966102,4,2
2016/2/5 6:00,34,5,46,3446,3,7,12.8067086,1,3
2016/2/5 6:05,34,5,65,3465,4,5,12.83793103,0,1
2016/2/5 6:05,34,5,45,3445,0,2,13.1832998,1,4
2016/2/5 6:10,34,5,173,34173,4,5,12.52899263,4,1
2016/2/5 6:15,34,5,212,34212,1,5,12.91613546,2,4
2016/2/5 6:25,34,5,177,34177,3,3,12.96700405,2,0
2016/2/5 6:40,34,4,140,34140,1,4,12.77372093,1,1
2016/2/5 6:40,35,4,19,3519,7,13,13.01177474,2,3
2016/2/5 6:40,35,2,10,3510,7,20,13.58208791,4,11
2016/2/5 6:45,35,4,86,3586,5,7,12.93408948,3,2
2016/2/5 6:45,34,4,161,34161,6,9,12.77372093,3,2
2016/2/5 6:45,34,4,34,3434,9,10,12.87327478,4,3
2016/2/5 6:45,35,4,229,35229,16,22,12.93408948,8,7
2016/2/5 6:45,34,1,185,34185,13,25,15.87918822,4,15
2016/2/5 6:50,35,4,111,35111,12,18,12.90369249,5,5
2016/2/5 6:50,34,4,183,34183,15,19,12.88529032,6,6
2016/2/5 6:50,35,4,29,3529,14,23,12.92371378,7,8
2016/2/5 6:50,35,4,169,35169,12,22,13.20791969,5,8
2016/2/5 6:50,34,0,158,34158,13,22,16.09011964,7,9
2016/2/5 6:55,34,4,17,3417,4,13,13.50687361,2,5
2016/2/5 6:55,34,4,123,34123,7,20,13.45435268,4,8
2016/2/5 6:55,35,4,112,35112,15,27,13.2463469,8,14
2016/2/5 7:00,35,4,63,3563,4,9,12.92371378,2,3
2016/2/5 7:00,34,4,206,34206,8,16,13.43938547,4,5
2016/2/5 7:00,35,4,1,351,7,20,13.45435268,4,8
2016/2/5 7:00,35,2,20,3520,12,25,13.84706849,5,13
2016/2/5 7:00,35,4,196,35196,19,31,13.1449506,8,17
2016/2/5 7:05,34,4,35,3435,8,23,13.50687361,5,11
2016/2/5 7:05,35,4,220,35220,12,24,13.33556672,7,11
2016/2/5 7:05,34,0,31,3431,15,27,16.10990366,7,11
2016/2/5 7:10,35,2,153,35153,13,17,14.18957346,5,10
2016/2/5 7:10,34,2,156,34156,8,22,13.58208791,4,12
2016/2/5 7:15,34,2,165,34165,4,11,13.74374308,2,7
2016/2/5 7:15,34,2,209,34209,11,17,14.19495366,3,8
2016/2/5 7:15,34,2,189,34189,12,19,14.41690334,3,8
2016/2/5 7:15,34,2,207,34207,13,21,14.43773842,4,9
2016/2/5 7:15,34,2,26,3426,16,33,14.84021739,2,14
2016/2/5 7:20,34,2,121,34121,13,20,14.38297769,3,10
2016/2/5 7:20,35,2,0,350,12,20,14.19495366,4,10
2016/2/5 7:20,34,2,33,3433,15,30,15.28147418,3,11
2016/2/5 7:20,34,2,210,34210,17,28,14.47566138,4,13
2016/2/5 7:25,34,2,224,34224,10,15,14.37213429,3,7
2016/2/5 7:25,34,2,154,34154,13,21,14.50047109,3,9
