plan_time,runway,airline,destination,REG,peak,gate,cat,distance,meantime_taxi_number,mean_taxi_time,land_takeoff_number,time
2016/1/8 10:55,35,17,7,3270,4,197,42,35197,11,17.11937462,14,17.9
2016/1/8 13:30,35,39,165,1234,3,215,25,35215,45,17.0247428,27,21.6
2016/1/8 13:45,34,105,21,3783,2,217,33,34217,23,16.47257994,8,11
2016/1/8 13:50,35,93,122,172,4,193,48,35193,8,17.37074592,10,14.8
2016/1/8 14:10,35,38,156,1331,4,201,24,35201,10,16.60012723,11,15.4
2016/1/8 14:20,34,38,160,1287,4,24,25,3424,17,16.83063123,10,20.5
2016/1/8 14:20,34,65,100,2899,4,223,13,34223,12,17.03239918,15,14.4
2016/1/8 14:25,34,26,21,885,4,30,43,3430,13,16.28270497,16,14.5
2016/1/8 14:45,35,26,122,1810,2,11,13,3511,8,16.11040828,9,10.4
2016/1/8 15:15,35,26,165,1405,4,22,25,3522,20,16.2921095,17,14.6
2016/1/8 15:20,34,65,100,2874,1,191,9,34191,33,16.9190246,11,17
2016/1/8 15:20,34,39,240,2237,4,209,9,34209,10,17.08292683,19,12.5
2016/1/8 15:30,35,115,172,873,2,203,25,35203,43,16.08475771,6,26.9
2016/1/8 15:30,34,34,100,2487,2,204,8,34204,25,16.07698616,13,14.3
2016/1/8 15:30,34,26,74,846,2,115,25,34115,15,16.06098953,17,11.5
2016/1/8 15:30,34,34,235,2765,4,211,8,34211,7,16.49261115,30,9.2
2016/1/8 15:35,34,90,118,4321,2,34,8,3434,32,16.08475771,12,18.7
2016/1/8 15:35,35,39,184,2330,1,121,8,35121,30,15.91728907,13,15.9
2016/1/8 15:35,34,22,233,2445,2,215,8,34215,25,16.02317721,8,12.5
2016/1/8 15:35,34,38,50,1356,4,35,25,3435,10,17.08292683,20,11
2016/1/8 15:40,35,46,219,563,2,229,8,35229,42,16.04532751,18,21.4
2016/1/8 15:40,35,26,149,1825,2,123,8,35123,26,16.15887349,9,14.9
2016/1/8 15:40,35,26,200,2201,4,228,8,35228,14,15.86653477,25,9.5
2016/1/8 15:45,35,26,218,2083,2,120,7,35120,28,16.01899802,21,15.7
2016/1/8 15:45,35,26,162,2222,1,18,9,3518,23,16.76945876,19,14.1
2016/1/8 15:50,35,46,149,765,2,237,8,35237,36,16.22905226,19,22.8
2016/1/8 15:50,35,26,172,1803,2,12,12,3512,31,16.08475771,24,17.2
2016/1/8 15:55,35,34,216,2225,2,136,8,35136,42,16.03078725,27,24.7
2016/1/8 15:55,35,22,184,2760,1,235,8,35235,25,16.97191101,4,14.2
2016/1/8 15:55,35,26,131,2108,2,139,7,35139,26,16.03480929,19,13.7
2016/1/8 15:55,34,46,235,2791,2,234,9,34234,9,16.02317721,16,7.6
2016/1/8 16:00,34,115,160,1428,2,210,25,34210,25,16.34362512,16,16
2016/1/8 16:00,34,26,47,1775,2,10,12,3410,27,16.65643301,15,14.1
2016/1/8 16:00,34,82,48,3616,2,57,35,3457,15,16.2,13,13.1
2016/1/8 16:00,35,26,171,2109,2,170,7,35170,15,16.06098953,13,11.5
2016/1/8 16:00,34,52,47,549,2,194,48,34194,21,16.22905226,15,11.4
2016/1/8 16:05,34,79,120,38,2,192,13,34192,37,16.58122232,9,19.8
2016/1/8 16:05,35,46,158,2325,1,167,8,35167,25,16.31926484,15,13.8
2016/1/8 16:05,35,22,224,2446,2,232,9,35232,23,16.69958753,22,13.2
2016/1/8 16:10,34,38,159,1260,2,38,25,3438,37,16.42827341,13,20.4
2016/1/8 16:10,34,26,240,940,2,119,8,34119,30,16.38646154,20,15.2
2016/1/8 16:10,34,38,233,602,2,29,25,3429,19,15.99023643,14,9.7
2016/1/8 16:15,35,22,127,1867,2,172,12,35172,26,16.58944214,17,15.2
2016/1/8 16:15,34,108,48,3911,2,70,40,3470,27,16.53633568,9,14.8
2016/1/8 16:15,34,41,203,2335,1,236,8,34236,25,16.31926484,15,13.4
2016/1/8 16:15,35,38,146,840,2,79,30,3579,20,16.50860713,14,11.9
2016/1/8 16:20,34,65,100,2827,1,221,13,34221,34,16.71999172,13,19.5
2016/1/8 16:20,34,26,190,887,2,25,43,3425,26,16.50860713,19,16.1
2016/1/8 16:20,35,26,230,1819,2,111,8,35111,20,16.30887939,20,12.1
2016/1/8 16:20,35,26,122,2151,2,30,12,3530,15,16.18096374,10,9.2
2016/1/8 16:25,34,39,241,1925,2,161,7,34161,37,16.66396636,10,20.7
2016/1/8 16:25,34,1,76,3318,1,190,33,34190,22,17.03072,11,12.9
2016/1/8 16:25,35,26,219,938,2,9,8,359,22,15.90949881,23,12.9
2016/1/8 16:25,34,93,122,110,2,198,18,34198,20,15.86561914,10,11.9
2016/1/8 16:30,34,26,100,961,2,35,9,3435,34,17.73306175,9,21.9
2016/1/8 16:30,35,38,171,1743,1,1,25,351,24,16.92430527,28,11.1
2016/1/8 16:35,35,39,181,2205,1,152,8,35152,52,16.24552036,11,29.2
2016/1/8 16:35,35,37,224,2056,1,146,9,35146,40,17.04749801,25,23.4
2016/1/8 16:35,35,38,170,1730,2,170,25,35170,13,17.85812044,28,9.7
2016/1/8 16:40,35,34,221,2224,1,136,8,35136,49,16.79879466,29,24.9
2016/1/8 16:40,35,22,156,2344,1,218,9,35218,46,16.75586354,19,23.2
2016/1/8 16:40,35,38,176,1251,1,228,25,35228,24,16.94292528,30,16.2
2016/1/8 16:40,34,10,102,3024,2,168,9,34168,26,17.30585263,11,15.2
2016/1/8 16:40,34,34,185,2776,2,182,8,34182,25,15.86234684,10,13.3
2016/1/8 16:45,35,39,224,2254,1,112,8,35112,49,16.83656656,12,26.6
2016/1/8 16:45,35,34,149,2269,1,138,8,35138,35,16.63029915,31,18.2
2016/1/8 16:45,34,39,233,1992,1,151,9,34151,24,17.04749801,17,12.9
2016/1/8 16:50,34,38,212,803,2,38,25,3438,27,17.88088785,11,23.1
2016/1/8 16:50,35,46,176,2448,1,159,8,35159,33,16.99887781,21,18.5
2016/1/8 16:50,35,46,181,2195,1,233,8,35233,25,16.99887781,27,13.6
2016/1/8 16:50,34,46,235,739,1,231,9,34231,16,16.31926484,6,9.2
2016/1/8 16:55,35,22,152,2444,1,227,9,35227,32,16.87793408,25,20.9
2016/1/8 17:00,34,105,19,3808,2,169,33,34169,20,17.27982383,8,12.5
2016/1/8 17:05,35,34,122,2591,2,171,8,35171,30,17.74693437,20,17.7
2016/1/8 17:05,35,38,163,1731,1,124,24,35124,26,16.80064963,17,16.2
2016/1/8 17:05,35,38,156,419,1,143,30,35143,23,16.76783523,17,13.6
2016/1/8 17:05,34,26,71,1888,1,13,12,3413,15,16.77013631,16,12.4
2016/1/8 17:10,34,26,161,496,2,23,8,3423,31,17.38967611,22,20.1
2016/1/8 17:10,35,26,181,2801,1,201,8,35201,31,16.94312692,23,16.3
2016/1/8 17:20,35,99,106,3578,1,200,43,35200,30,16.76530702,9,19.5
2016/1/8 17:20,34,26,116,1874,1,14,12,3414,26,16.84335904,23,17.7
2016/1/8 17:20,35,26,132,2161,1,156,8,35156,16,16.82198403,25,9.7
2016/1/8 17:20,34,22,48,1563,1,229,25,34229,19,16.9190246,15,9.3
2016/1/8 17:25,34,33,100,2947,2,192,13,34192,22,17.86611842,24,20.9
2016/1/8 17:25,34,26,43,1863,1,15,12,3415,31,16.72119588,14,17.6
2016/1/8 17:25,34,12,48,3695,1,194,49,34194,23,16.93235035,18,11.8
2016/1/8 17:30,34,69,60,3624,1,34,25,3434,34,16.84335904,13,20.6
2016/1/8 17:30,34,26,64,2100,1,22,7,3422,29,17.01786012,26,15.3
2016/1/8 17:30,34,46,241,2430,1,234,8,34234,20,16.76114837,20,14.1
2016/1/8 17:30,34,22,50,2302,1,222,9,34222,23,16.76945876,19,13.4
2016/1/8 17:35,35,38,130,1332,1,16,24,3516,22,16.78336816,18,14.1
2016/1/8 17:40,34,26,235,2312,2,19,9,3419,43,17.27045741,22,22.2
2016/1/8 17:40,34,26,48,1021,2,37,9,3437,25,17.9953017,23,17.5
2016/1/8 17:45,35,34,172,2270,2,138,8,35138,24,17.7192275,3,13.5
2016/1/8 17:45,35,22,171,2371,2,220,9,35220,19,17.36140279,14,11.5
2016/1/8 17:45,35,26,165,2187,3,20,9,3520,7,16.41923274,19,10.3
2016/1/8 17:45,35,26,224,2472,2,117,8,35117,9,17.32339468,10,7
2016/1/8 17:50,34,69,50,3626,2,36,25,3436,46,17.36140279,17,26.4
2016/1/8 17:50,34,3,1,3068,2,212,49,34212,33,17.9007217,28,21.2
