plantime,runway,airline,destination,REG,peak,gate,cat,distance,meantime_taxi_number,mean_taxi_time,land_takeoff_number,time
2016/5/6 0:05,16,104,37,255,9,196,18,16196,5,20.28190955,7,12.7
2016/5/6 0:15,17,51,11,3165,9,177,42,17177,29,20.04739583,22,34.2
2016/5/6 0:15,17,26,126,1809,9,13,12,1713,10,19.86717489,9,11.1
2016/5/6 0:15,16,22,24,1779,9,213,12,16213,9,16.14824281,6,10.3
2016/5/6 0:20,17,26,32,2147,9,27,12,1727,3,20.28386783,7,9.6
2016/5/6 0:35,16,93,122,147,9,197,13,16197,8,18.27591623,12,24.8
2016/5/6 1:00,16,22,5,1857,9,190,12,16190,4,15.36559829,5,9
2016/5/6 1:00,16,60,116,4195,9,193,13,16193,1,13.19511278,0,6.5
2016/5/6 1:05,16,25,81,4240,9,169,8,16169,9,14.96587678,5,9.3
2016/5/6 1:10,16,9,97,19,9,14,13,1614,0,16.67942664,6,10.7
2016/5/6 1:20,16,114,120,92,9,221,13,16221,2,15.84162963,4,7.5
2016/5/6 1:30,16,22,25,2145,9,178,12,16178,7,16.17294469,5,7.8
2016/5/6 1:45,16,12,71,3675,9,172,42,16172,4,16.14824281,4,8
2016/5/6 1:55,16,100,85,4313,4,40,12,1640,9,14.40564516,8,15
2016/5/6 2:00,16,31,100,905,4,61,46,1661,9,14.56300268,8,16.9
2016/5/6 2:00,16,31,76,911,4,59,46,1659,5,14.65014925,9,14.2
2016/5/6 2:00,16,115,224,1200,4,179,21,16179,7,14.73596059,6,8.8
2016/5/6 2:10,16,89,39,401,4,43,47,1643,2,12.93484848,2,13.8
2016/5/6 2:30,16,72,76,3334,4,56,33,1656,2,13.43333333,5,13.5
2016/5/6 3:00,16,82,48,3613,4,62,35,1662,4,13.4622291,4,12.6
2016/5/6 3:05,16,2,95,4507,4,42,33,1642,2,13.26296296,3,14.1
2016/5/6 3:45,16,115,50,1032,4,74,22,1674,4,12.64204947,1,12.6
2016/5/6 3:50,16,1,76,3382,4,177,33,16177,3,12.68724832,0,8.4
2016/5/6 4:25,16,85,48,3928,4,78,37,1678,2,13.396337,2,12.6
2016/5/6 4:40,16,115,202,1122,4,49,22,1649,1,12.74241245,5,12.3
2016/5/6 4:55,16,72,40,3325,4,50,33,1650,1,12.61590361,1,13.5
2016/5/6 5:00,16,2,95,4471,4,45,35,1645,2,13.32671756,4,13.5
2016/5/6 5:30,16,104,38,280,4,55,47,1655,0,12.20334928,3,6.2
2016/5/6 5:45,16,33,100,2885,4,62,33,1662,1,12.61590361,0,10.5
2016/5/6 5:50,34,36,100,3001,4,73,12,3473,18,17.28603524,27,19.1
2016/5/6 6:00,17,44,152,1214,4,57,21,1757,37,15.64816794,17,19.5
2016/5/6 6:30,16,34,74,2269,9,58,8,1658,23,14.25130916,6,11.3
2016/5/6 6:40,16,38,142,1361,9,107,25,16107,7,12.87327478,3,12
2016/5/6 6:45,17,39,165,1107,9,146,24,17146,37,12.92371378,18,32.5
2016/5/6 6:45,16,115,235,1662,9,214,25,16214,2,12.9132312,1,6.2
2016/5/6 6:50,17,97,105,3596,9,196,13,17196,25,12.88529032,13,22
2016/5/6 6:50,16,30,209,2515,9,155,25,16155,16,13.58029967,2,12.9
2016/5/6 6:50,17,26,136,1014,9,111,8,17111,8,12.78448509,3,7.9
2016/5/6 6:50,17,26,148,2780,9,2,8,172,5,13.01177474,9,5.6
2016/5/6 6:55,16,22,235,2371,9,234,9,16234,16,13.21713654,7,10.2
2016/5/6 6:55,17,39,4,901,4,66,42,1766,20,14.37213429,6,8.4
2016/5/6 7:00,17,81,104,21,9,172,40,17172,51,13.89113436,3,28.3
2016/5/6 7:00,17,46,164,2220,9,158,8,17158,36,13.58029967,7,23
2016/5/6 7:00,17,115,164,1025,4,68,37,1768,12,12.93408948,17,12.2
2016/5/6 7:00,16,46,185,507,9,232,9,16232,14,13.45435268,9,10.4
2016/5/6 7:00,16,34,235,2488,9,168,8,16168,10,13.2463469,14,6.5
2016/5/6 7:05,17,34,143,800,9,175,8,17175,55,13.56890244,6,32.4
2016/5/6 7:05,16,46,190,2483,9,229,8,16229,11,13.45435268,22,8.6
2016/5/6 7:10,17,22,224,1861,9,230,12,17230,44,13.69272326,15,25.4
2016/5/6 7:15,17,104,37,215,9,198,43,17198,45,14.18957346,19,25.9
2016/5/6 7:15,17,39,181,2767,9,204,8,17204,42,14.25130916,20,25.5
2016/5/6 7:15,17,26,181,2161,9,134,8,17134,39,14.10996767,12,19.1
2016/5/6 7:15,17,46,171,2297,9,157,8,17157,31,14.59958106,19,18.7
2016/5/6 7:20,16,70,74,3356,9,34,25,1634,31,14.41690334,14,16.8
2016/5/6 7:25,17,115,172,873,9,151,25,17151,38,14.84021739,11,22
